	index	station	date	prcp	tobs	station_clean	name	latitude	longitude	elevation
0	0	USC00519397	2010-01-01	0.08	65	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
1	1	USC00519397	2010-01-02	0.0	63	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
2	2	USC00519397	2010-01-03	0.0	74	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
3	3	USC00519397	2010-01-04	0.0	76	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
5	5	USC00519397	2010-01-07	0.06	70	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
6	6	USC00519397	2010-01-08	0.0	64	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
7	7	USC00519397	2010-01-09	0.0	68	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
8	8	USC00519397	2010-01-10	0.0	73	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
9	9	USC00519397	2010-01-11	0.01	64	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
10	10	USC00519397	2010-01-12	0.0	61	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
11	11	USC00519397	2010-01-14	0.0	66	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
12	12	USC00519397	2010-01-15	0.0	65	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
13	13	USC00519397	2010-01-16	0.0	68	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
14	14	USC00519397	2010-01-17	0.0	64	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
15	15	USC00519397	2010-01-18	0.0	72	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
16	16	USC00519397	2010-01-19	0.0	66	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
17	17	USC00519397	2010-01-20	0.0	66	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
18	18	USC00519397	2010-01-21	0.0	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
19	19	USC00519397	2010-01-22	0.0	67	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
20	20	USC00519397	2010-01-23	0.0	67	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
21	21	USC00519397	2010-01-24	0.01	71	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
22	22	USC00519397	2010-01-25	0.0	67	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
23	23	USC00519397	2010-01-26	0.04	76	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
24	24	USC00519397	2010-01-27	0.12	68	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
25	25	USC00519397	2010-01-28	0.0	72	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
27	27	USC00519397	2010-01-31	0.03	67	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
28	28	USC00519397	2010-02-01	0.01	66	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
30	30	USC00519397	2010-02-04	0.01	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
31	31	USC00519397	2010-02-05	0.0	67	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
32	32	USC00519397	2010-02-06	0.0	67	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
33	33	USC00519397	2010-02-07	0.0	64	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
34	34	USC00519397	2010-02-08	0.0	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
35	35	USC00519397	2010-02-09	0.0	73	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
36	36	USC00519397	2010-02-11	0.0	73	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
37	37	USC00519397	2010-02-12	0.02	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
38	38	USC00519397	2010-02-13	0.01	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
39	39	USC00519397	2010-02-14	0.0	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
40	40	USC00519397	2010-02-15	0.0	71	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
41	41	USC00519397	2010-02-16	0.0	61	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
42	42	USC00519397	2010-02-17	0.0	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
44	44	USC00519397	2010-02-20	0.03	64	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
45	45	USC00519397	2010-02-21	0.0	65	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
46	46	USC00519397	2010-02-22	0.0	67	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
47	47	USC00519397	2010-02-23	0.0	68	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
48	48	USC00519397	2010-02-24	0.0	65	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
49	49	USC00519397	2010-02-25	0.0	76	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
50	50	USC00519397	2010-02-26	0.0	75	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
51	51	USC00519397	2010-02-28	0.0	66	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
52	52	USC00519397	2010-03-01	0.01	70	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
53	53	USC00519397	2010-03-02	0.0	72	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
54	54	USC00519397	2010-03-03	0.0	73	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
55	55	USC00519397	2010-03-04	0.12	70	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
56	56	USC00519397	2010-03-05	0.08	71	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
57	57	USC00519397	2010-03-06	0.03	72	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
58	58	USC00519397	2010-03-07	0.0	72	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
59	59	USC00519397	2010-03-08	0.43	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
60	60	USC00519397	2010-03-09	0.06	70	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
62	62	USC00519397	2010-03-12	0.0	72	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
63	63	USC00519397	2010-03-13	0.0	73	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
64	64	USC00519397	2010-03-14	0.0	70	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
65	65	USC00519397	2010-03-15	0.06	71	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
66	66	USC00519397	2010-03-17	0.0	68	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
67	67	USC00519397	2010-03-18	0.0	70	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
68	68	USC00519397	2010-03-21	0.0	72	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
69	69	USC00519397	2010-03-22	0.0	69	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
70	70	USC00519397	2010-03-23	0.0	68	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
71	71	USC00519397	2010-03-24	0.0	74	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
73	73	USC00519397	2010-03-27	0.0	72	USC00519397	WAIKIKI 717.2, HI US	21.2716	-157.8168	3.0
